City_Name,Longitude,Lattitude,Temperature,Humidity,Cloudiness,Wind Speed
Sirte,16.5887,31.2089,80.8,60,0,8.77
Vestmanna,-7.1664,62.1564,45.52,100,90,11.5
Sisimiut,-53.6735,66.9395,43.97,84,100,5.55
Calbuco,-73.1273,-41.768,42.01,75,4,4.43
Korla,86.1469,41.7597,74.26,19,0,14.23
Barrow,-156.7887,71.2906,51.82,76,40,16.11
Santo Amaro,-38.7119,-12.5467,77.04,92,82,5.35
Punta Arenas,-70.9167,-53.15,35.71,87,0,8.05
Bethel,-73.414,41.3712,78.01,78,75,8.05
Inuvik,-133.7218,68.3499,67.01,67,75,5.75
Aykhal,111.5,66,64.74,63,32,9.26
College,-147.8028,64.8569,69.15,46,75,8.05
Aguada de Pasajeros,-80.8508,22.385,80.74,62,88,6.62
Fairbanks,-147.7164,64.8378,69.19,45,20,8.05
Orocué,-71.3354,4.7912,80.89,80,79,3.6
Castro,-50.0119,-24.7911,59.88,88,0,4.27
Iqaluit,-68.5145,63.7506,40.69,70,75,5.99
Muros,-9.0603,42.7762,60.57,86,100,4.54
Kenai,-151.2583,60.5544,57.25,54,90,10.36
Beloha,45.05,-25.1667,62.76,81,2,4.5
Liverpool,-2.9779,53.4106,57.52,92,22,6.64
Toora-Khem,96.11,52.4675,43.52,81,87,1.9
Vao,167.4833,-22.6667,73.58,68,100,10.83
Belmonte,-38.8828,-15.8631,73.9,70,8,9.35
Hamada,132.0833,34.8833,72,79,100,3.4
Dārāb,54.5444,28.7519,81.54,13,0,4.29
Cartagena,-75.5144,10.3997,85.62,70,40,9.22
Beroroha,45.1667,-21.6667,59.94,50,0,0.96
Priyutovo,53.9333,53.9,67.5,89,76,2.06
Henties Bay,14.2845,-22.116,58.78,77,3,2.95
Saint Paul Harbor,-152.4072,57.79,53.11,82,90,8.05
Escanaba,-87.0646,45.7453,67.3,88,90,4.61
Batagay,134.6333,67.6333,78.62,35,18,5.68
Iquitos,-73.2472,-3.7481,87.84,62,40,4.61
Coyhaique,-72.0662,-45.5752,31.95,93,40,0
Gamboula,15.1393,4.1178,68.18,95,48,3.94
Souillac,57.5167,-20.5167,73.78,83,75,9.22
Nome,-165.4064,64.5011,55.47,71,1,13.8
Teguise,-13.564,29.0605,66.42,73,20,16.11
Mazagão,-51.2894,-0.115,82.45,87,57,3.24
Banes,-75.7186,20.9625,88.41,73,11,13.04
Palmer,-72.3287,42.1584,78.24,69,90,5.99
St. Pete Beach,-82.7412,27.7253,82.51,71,40,5.01
Arapongas,-51.4244,-23.4194,72.27,68,24,3.98
Borşa,24.6633,47.6553,61.92,94,99,3.4
Sitka,-135.33,57.0531,60.69,82,90,5.75
Kembé,21.8865,4.6228,72.21,78,85,1.36
Mangan,88.5333,27.5167,74.66,95,94,2.1
Khorixas,14.9667,-20.3667,65.77,26,3,10.83
Babushkin,105.8647,51.7122,53.47,89,100,6.26
Lüderitz,15.1594,-26.6481,56.46,57,0,6.04
Coquimbo,-71.3436,-29.9533,56.93,76,0,9.22
Shumskiy,99.1328,54.8318,50.11,85,48,0.74
Hasaki,140.8333,35.7333,72.19,84,100,6.98
Poole,-2,50.7167,60.96,79,100,1.01
Bilma,12.9164,18.6853,92.43,10,1,10.92
Usol'ye,56.6808,59.4268,54.21,92,52,1.14
Albany,-73.9662,42.6001,80.31,68,100,9.33
Okakarara,17.4333,-20.5833,54.75,32,0,5.17
Mtwara,40.1833,-10.2667,68.97,85,0,5.7
Lumsden,-104.8678,50.6501,77.94,38,67,8.97
Obo,26.4869,5.3998,72.81,67,68,2.71
Hithadhoo,73.0833,-0.6,82.69,72,100,12.26
Grand Gaube,57.6608,-20.0064,72.37,84,10,5.01
Filingué,3.3168,14.3521,97.95,25,38,7.31
Scarborough,-0.4044,54.2797,55.6,88,39,3.94
Oranjemund,16.4333,-28.55,53.35,81,2,5.88
Mahibadhoo,72.9667,3.7833,82.47,70,100,10.25
Constitución,-72.4167,-35.3333,48.04,61,0,11.48
Provideniya,-173.3,64.3833,47.14,83,100,9.31
Pevek,170.3133,69.7008,42.71,59,100,10.11
Nikolskoye,30.7861,59.7035,64.67,91,8,4.03
Port-Cartier,-66.8654,50.0334,60.48,99,100,1.88
Gari,62.3497,59.4307,58.1,98,92,5.06
